,Max Velocity,Avg Velocity,Avg Altitude Drop
2118,144.0,113.13,2831385.18
2119,118.0,97.01,2688078.95
2120,137.0,105.35,2017593.61
2121,140.0,104.23,2581131.7
2122,158.0,116.98,2351612.35
2123,144.0,118.11,3075706.4
2124,149.0,123.28,5734847.66
2125,242.0,165.62,5585550.88
2126,169.0,126.59,10348782.21
2127,229.0,163.56,5013010.56
2128,140.0,103.64,3038588.86
2129,5356.075,4673.66,17372.39
2130,5104.498,4799.6,34153.28
2131,5251.5790000000015,4712.09,39309.0
2132,4859.402,4468.89,56491.68
2133,5174.293,4743.94,63842.01
2134,5457.408,4791.36,68911.43
2135,5112.976,4794.23,109803.94
2136,5061.005,4600.77,104472.31
2137,4994.225,4665.5,132451.16
2138,5854.736999999999,5133.49,104709.99
2139,5091.685,4523.11,137996.59
2140,5132.889,4832.47,192853.23
2141,5133.1709999999985,4454.65,151103.31
2142,5355.335,4840.51,182022.84
2143,5047.401,4559.81,201919.19
2144,5276.22,4706.96,201409.0
2145,5022.814,4687.46,265599.18
2146,5456.561,4737.24,201050.07
2147,5311.198,4650.0,231575.36
2148,5288.481,4596.17,241914.55
2149,4898.392,4322.99,290747.99
2150,4821.249,4419.67,351147.92
2151,5169.358,4770.74,347398.15
2152,4654.493,4391.44,446195.84
2153,5466.726,4783.89,290549.1
2154,4899.566,4616.86,458169.36
2155,4855.332,4540.46,465327.71
2156,4908.017,4570.96,451185.57
2157,5388.911,4848.27,353135.53
2158,4896.426,4504.95,439761.17
2159,5037.059,4631.51,432323.8
2160,5715.955,4996.03,334308.39
2161,5453.843000000002,4881.9,396136.87
2162,5472.656,4903.18,411535.55
2163,4895.882000000001,4480.56,528298.34
2164,4807.975,4542.95,646497.46
2165,4934.859,4624.38,593445.21
2166,5776.464,5043.98,396979.75
2167,5166.949000000001,4527.2,466475.47
2168,4932.353,4674.65,719102.56
2169,5334.213000000002,4730.13,487146.24
2170,5022.97,4649.91,624572.53
2171,5343.735,4785.71,528157.76
2172,5166.9659999999985,4795.71,652767.75
2173,4931.483,4435.83,611491.4
2174,5431.456,4952.06,599919.58
2175,5551.979,4884.84,520295.91
2176,4810.337,4583.71,902653.44
2177,5629.359,4858.09,511304.1
2178,5274.055,4863.44,713481.75
2179,5380.085,5015.48,754074.22
2180,4914.499,4494.29,733689.34
2181,5436.919,4746.49,586339.48
2182,5405.111,4711.85,604557.08
2183,5448.616,4949.14,707288.63
2184,5109.867,4698.38,807029.91
2185,5308.991999999998,4662.09,662574.94
2186,5569.045,4858.51,639353.11
2187,4872.303,4594.88,1083469.66
2188,5253.133000000002,4604.47,702962.57
2189,5029.194,4649.85,927276.81
2190,5045.075,4741.96,1073430.97
2191,5982.108,5278.1,669878.09
2192,5674.779,5080.51,753665.83
2193,5325.404,4618.84,746389.1
2194,4833.676,4322.39,902847.0
2195,5133.723,4536.87,852073.75
2196,4967.76,4373.95,866505.08
2197,5224.697,4765.69,981532.54
2198,5538.111,4887.94,809302.09
2199,5600.196999999999,5080.18,910904.68
2200,4979.384,4557.48,1073355.37
2201,4842.096,4605.69,1437468.26
2202,5250.811,4812.27,1046393.06
2203,4870.104,4556.71,1254323.62
2204,4929.485,4702.83,1469895.52
2205,5372.384,4615.63,846380.22
2206,4945.791,4566.08,1187697.91
2207,5217.83,4915.67,1309166.9
2208,5577.308000000001,4973.35,933165.12
2209,4876.4,4358.94,1089108.11
2210,5647.448,4889.4,877347.46
