,Max Velocity,Avg Velocity
644,33.0,31.32
645,138.0,132.82
646,140.0,91.83
647,131.0,102.71
648,175.0,138.55
649,144.0,92.96
650,180.0,129.8
651,139.0,103.22
652,79.0,57.83
653,138.0,96.93
654,177.0,140.12
655,139.0,92.21
656,130.0,99.7
657,225.0,181.07
658,192.0,146.68
659,223.0,147.2
660,146.0,106.68
661,139.0,91.45
662,234.0,168.67
663,147.0,104.36
664,232.0,167.29
665,137.0,95.41
666,190.0,144.69
667,142.0,101.16
668,136.0,103.49
669,196.0,153.45
670,169.0,153.99
671,152.0,101.91
672,124.0,96.68
673,213.0,163.78
674,135.0,98.57
675,162.0,120.53
676,138.0,104.6
677,179.0,145.64
678,142.0,111.94
679,126.0,95.96
680,243.0,177.68
681,55.0,44.07
682,116.0,92.73
683,155.0,121.0
684,135.0,102.32
685,199.0,145.55
686,190.0,147.83
687,124.0,96.32
688,130.0,103.19
689,243.0,177.55
690,233.0,159.17
691,133.0,106.08
692,205.0,148.72
693,121.0,109.04
694,199.0,150.68
695,135.0,108.02
696,205.0,157.22
697,53.0,42.94
698,130.0,103.8
699,202.0,165.28
700,137.0,107.29
701,189.0,145.97
702,163.0,124.68
703,218.0,170.97
704,139.0,104.59
705,143.0,119.05
706,215.0,150.46
707,182.0,133.18
708,211.0,164.54
709,133.0,109.32
710,197.0,117.67
711,138.0,108.49
712,203.0,146.49
713,175.0,140.6
714,73.0,49.66
715,125.0,91.83
716,196.0,138.26
717,198.0,162.79
718,168.0,128.49
719,192.0,133.26
720,136.0,109.88
721,177.0,141.82
722,134.0,95.23
723,135.0,106.57
724,205.0,115.25
725,240.0,177.77
726,130.0,108.77
727,166.0,123.21
728,135.0,101.09
729,168.0,145.59
730,204.0,141.55
731,186.0,143.11
732,140.0,92.7
733,90.0,80.32
734,212.0,165.61
735,191.0,134.65
736,134.0,105.65
737,135.0,96.19
738,196.0,148.18
739,104.0,95.66
740,211.0,145.45
741,67.0,64.91
742,110.0,109.08
743,183.0,141.58
744,214.0,164.39
745,123.0,98.86
746,174.0,131.2
747,107.0,72.83
748,201.0,163.24
749,136.0,100.46
750,176.0,140.14
751,125.0,98.62
752,201.0,147.54
753,23.0,21.19
754,200.0,160.9
755,127.0,99.45
756,139.0,100.53
757,234.0,168.69
758,137.0,102.83
759,201.0,160.59
760,92.0,69.16
761,62.0,56.73
762,135.0,103.17
763,113.0,95.25
764,233.0,171.67
765,148.0,100.84
766,226.0,147.45
767,192.0,146.96
768,164.0,152.82
769,114.0,79.72
770,130.0,100.25
771,137.0,95.34
772,200.0,146.75
773,230.0,176.03
774,136.0,100.3
775,183.0,151.97
776,57.0,44.71
777,142.0,89.97
778,148.0,117.62
779,200.0,161.19
780,139.0,98.23
781,150.0,108.36
782,68.0,64.56
783,154.0,97.53
784,166.0,160.82
785,230.0,176.78
786,160.0,102.71
